x,y,ref_x,ref_y
0.128523,0,0.1,0.0499792
0.286302,0.0583123,0.228523,0.114013
0.443884,0.147289,0.386302,0.191952
0.595358,0.242065,0.543884,0.268603
0.742628,0.331348,0.695358,0.340716
0.888023,0.412328,0.842628,0.40896
1.03288,0.485395,0.988023,0.474162
1.17778,0.551749,1.13288,0.536631
1.32291,0.612539,1.27778,0.596305
1.46827,0.6686,1.42291,0.652936
1.61382,0.720416,1.56827,0.706213
1.75948,0.768182,1.71382,0.755822
1.90523,0.811885,1.85948,0.801466
2.05102,0.851394,2.00523,0.84288
2.19684,0.886516,2.15102,0.879832
2.34269,0.917046,2.29684,0.912117
2.48858,0.942792,2.44269,0.93956
2.63452,0.963584,2.58858,0.962015
2.78051,0.979286,2.73452,0.979357
2.92658,0.989794,2.88051,0.991492
3.07273,0.995035,3.02658,0.998347
3.21897,0.994966,3.17273,0.999879
3.3653,0.989575,3.31897,0.99607
3.51172,0.978879,3.4653,0.98693
3.65824,0.962924,3.61172,0.972499
3.80484,0.941785,3.75824,0.952844
3.95152,0.915568,3.90484,0.928061
4.09827,0.884405,4.05152,0.898277
4.24508,0.848461,4.19827,0.863646
4.39193,0.807926,4.34508,0.82435
4.53882,0.763019,4.49193,0.780601
4.68572,0.713987,4.63882,0.732634
4.83262,0.661097,4.78572,0.680712
4.97951,0.604643,4.93262,0.625119
5.12638,0.544935,5.07951,0.566159
5.27321,0.482304,5.22638,0.504157
5.41999,0.417095,5.37321,0.439453
5.56673,0.349666,5.51999,0.372402
5.7134,0.280387,5.66673,0.303371
5.86001,0.209636,5.8134,0.232737
6.00655,0.137798,5.96001,0.160884
6.15303,0.0652593,6.10655,0.0882006
6.29942,-0.00758775,6.25303,0.0150795
6.44575,-0.0803533,6.39942,-0.0580862
6.592,-0.152649,6.54575,-0.130905
6.73818,-0.22409,6.692,-0.202987
6.8843,-0.294299,6.83818,-0.273951
7.03034,-0.362905,6.9843,-0.343419
7.17633,-0.429547,7.13034,-0.411026
7.32227,-0.493876,7.27633,-0.476416
7.46816,-0.555556,7.42227,-0.539246
7.614,-0.614264,7.56816,-0.599187
7.75982,-0.669695,7.714,-0.655926
7.90561,-0.721561,7.85982,-0.709167
8.05139,-0.769591,8.00561,-0.758632
8.19716,-0.813536,8.15139,-0.804065
8.34295,-0.853165,8.29716,-0.845226
8.48875,-0.888271,8.44295,-0.881902
8.63459,-0.918669,8.58875,-0.913897
8.78047,-0.944197,8.73459,-0.941043
8.9264,-0.964715,8.88047,-0.963194
9.0724,-0.980112,9.0264,-0.980228
9.21847,-0.990297,9.1724,-0.992049
9.36463,-0.995209,9.31847,-0.998588
9.51087,-0.994811,9.46463,-0.999802
9.65721,-0.989095,9.61087,-0.995674
9.80363,-0.978078,9.75721,-0.986218
9.95015,-0.961809,9.90363,-0.971474
10.0968,-0.940363,10.0502,-0.95151
10.2434,-0.913847,10.1968,-0.926426
10.3902,-0.882394,10.3434,-0.896348
10.537,-0.846171,10.4902,-0.861433
10.6839,-0.80537,10.637,-0.821866
10.8308,-0.760211,10.7839,-0.777859
10.9777,-0.710941,10.9308,-0.729649
11.1246,-0.657831,11.0777,-0.6775
11.2714,-0.601174,11.2246,-0.621697
11.4183,-0.541282,11.3714,-0.562547
11.5651,-0.478488,11.5183,-0.500374
11.7119,-0.413136,11.6651,-0.43552
11.8587,-0.345587,11.8119,-0.368341
12.0053,-0.27621,11.9587,-0.299205
12.1519,-0.205383,12.1053,-0.228487
12.2985,-0.133492,12.2519,-0.156573
12.4449,-0.0609243,12.3985,-0.0838528
12.5913,0.0119288,12.5449,-0.010718
12.7376,0.0846772,12.6913,0.0624379
12.8839,0.156933,12.8376,0.135223
13.0301,0.228311,12.9839,0.20725
13.1762,0.298435,13.1301,0.278135
13.3222,0.366934,13.2762,0.347503
13.4682,0.433448,13.4222,0.414988
13.6141,0.497628,13.5682,0.480234
13.76,0.55914,13.7141,0.542901
13.9059,0.617661,13.86,0.60266
14.0517,0.672888,14.0059,0.659198
14.1975,0.724532,14.1517,0.712222
14.3433,0.772326,14.2975,0.761454
14.489,0.81602,14.4433,0.806639
14.6348,0.855385,14.589,0.847539
14.7806,0.890216,14.7348,0.883941
14.9265,0.920328,14.8806,0.915652
15.0723,0.945561,15.0265,0.942504
15.2183,0.965777,15.1723,0.964353
15.3643,0.980865,15.3183,0.981079
15.5104,0.990738,15.4643,0.992587
15.6565,0.995334,15.6104,0.99881
15.8028,0.99462,15.7565,0.999705
15.9491,0.988587,15.9028,0.99526
16.0955,0.977256,16.0491,0.985487
16.2421,0.960676,16.1955,0.97043
16.3887,0.938924,16.3421,0.950158
16.5354,0.91211,16.4887,0.924772
16.6821,0.880368,16.6354,0.894402
16.8289,0.843867,16.7821,0.859205
16.9758,0.802799,16.9289,0.819367
17.1227,0.757388,17.0758,0.775102
17.2696,0.707882,17.2227,0.72665
17.4165,0.654552,17.3696,0.674275
17.5634,0.597693,17.5165,0.618264
17.7102,0.537619,17.6634,0.558924
17.8571,0.474663,17.8102,0.496582
18.0039,0.40917,17.9571,0.43158
18.1506,0.341501,18.1039,0.364274
18.2972,0.272027,18.2506,0.295032
18.4438,0.201126,18.3972,0.224233
18.5904,0.129184,18.5438,0.15226
18.7368,0.0565883,18.6904,0.0795036
18.8832,-0.0162696,18.8368,0.00635654
19.0295,-0.0889994,18.9832,-0.0667883
19.1758,-0.161213,19.1295,-0.139539
19.322,-0.232528,19.2758,-0.211508
19.4681,-0.302565,19.422,-0.282313
19.6141,-0.370955,19.5681,-0.351579
19.7601,-0.43734,19.7141,-0.418941
19.906,-0.501371,19.8601,-0.484043
20.0519,-0.562713,20.006,-0.546546
20.1977,-0.621046,20.1519,-0.606121
20.3436,-0.676068,20.2977,-0.662458
20.4893,-0.72749,20.4436,-0.715264
20.6351,-0.775046,20.5893,-0.764262
20.7809,-0.818488,20.7351,-0.809197
20.9267,-0.857589,20.8809,-0.849835
21.0725,-0.892144,21.0267,-0.885963
21.2183,-0.921969,21.1725,-0.917389
21.3642,-0.946907,21.3183,-0.943947
21.5102,-0.966821,21.4642,-0.965494
21.6562,-0.9816,21.6102,-0.981911
21.8023,-0.99116,21.7562,-0.993106
21.9484,-0.995441,21.9023,-0.999012
22.0947,-0.994409,22.0484,-0.99959
22.241,-0.98806,22.1947,-0.994827
22.3875,-0.976414,22.341,-0.984738
22.534,-0.959524,22.4875,-0.969367
22.6806,-0.937468,22.634,-0.948788
22.8273,-0.910355,22.7806,-0.923101
22.9741,-0.878325,22.9273,-0.892438
23.1209,-0.841546,23.0741,-0.856959
23.2677,-0.800213,23.2209,-0.816851
23.4146,-0.754551,23.3677,-0.77233
23.5615,-0.704809,23.5146,-0.723637
23.7084,-0.65126,23.6615,-0.671037
23.8553,-0.594201,23.8084,-0.614819
24.0022,-0.533946,23.9553,-0.555291
24.149,-0.470829,24.1022,-0.492781
24.2958,-0.405196,24.249,-0.427631
24.4425,-0.337409,24.3958,-0.360199
24.5892,-0.26784,24.5425,-0.290854
24.7358,-0.196866,24.6892,-0.219974
24.8823,-0.124873,24.8358,-0.147943
25.0288,-0.0522513,24.9823,-0.075153
25.1751,0.0206098,25.1288,-0.00199505
25.3214,0.0933198,25.2751,0.0711372
25.4677,0.165491,25.4214,0.143852
25.6139,0.236739,25.5677,0.215763
25.76,0.306689,25.7139,0.286487
25.906,0.37497,25.86,0.355649
26.052,0.441224,26.006,0.422886
26.1979,0.505104,26.152,0.487843
26.3438,0.566275,26.2979,0.55018
26.4896,0.62442,26.4438,0.609571
26.6354,0.679235,26.5896,0.665706
26.7812,0.730434,26.7354,0.718292
26.927,0.777752,26.8812,0.767055
27.0728,0.820941,27.027,0.811741
27.2186,0.859777,27.1728,0.852116
27.3644,0.894055,27.3186,0.887969
27.5102,0.923593,27.4644,0.919109
27.6561,0.948235,27.6102,0.945373
27.802,0.967846,27.7561,0.966617
27.9481,0.982317,27.902,0.982725
28.0941,0.991563,28.0481,0.993607
28.2403,0.995528,28.1941,0.999196
28.3866,0.99418,28.3403,0.999456
28.5329,0.987514,28.4866,0.994375
28.6794,0.975554,28.6329,0.98397
28.8259,0.958353,28.7794,0.968286
28.9725,0.935993,28.9259,0.947399
29.1192,0.908583,29.0725,0.921412
29.266,0.876265,29.2192,0.890458
